Contig	Organism	Chromosome	Gene	Start	End	Direction
NT_011651	Homo sapiens	"X"	14328808	14330991	LOC728150	coding
NT_011651	Homo sapiens	"X"	14330612	15174534	PCDH11X	coding
NT_011651	Homo sapiens	"X"	14664401	14665768	LOC642784	complement
NT_011651	Homo sapiens	"X"	15010918	15012328	KRT18L1	coding
NT_011651	Homo sapiens	"X"	15227826	15228261	LOC392501	complement
NT_011651	Homo sapiens	"X"	15773525	15776322	LOC401602	complement
NT_011651	Homo sapiens	"X"	15839040	15839285	LOC643310	complement
NT_011651	Homo sapiens	"X"	16222237	16224916	NAP1L3	complement
NT_011651	Homo sapiens	"X"	16225513	16263569	RP1-32F7.2	coding
NT_011651	Homo sapiens	"X"	16641861	16871321	LOC643371	coding
NT_011651	Homo sapiens	"X"	18051115	18051222	CALM1P1	coding
NT_011651	Homo sapiens	"X"	18524635	18525621	LOC648927	complement
NT_011651	Homo sapiens	"X"	18888768	18889058	LOC643486	complement
NT_011651	Homo sapiens	"X"	19236017	20156300	DIAPH2	coding
NT_011651	Homo sapiens	"X"	19435215	19436774	RPA4	coding
NT_011651	Homo sapiens	"X"	20802987	20803849	LOC392505	coding
NT_011651	Homo sapiens	"X"	20940816	20942245	LOC643563	coding
NT_011651	Homo sapiens	"X"	22270661	22307672	LOC442459	complement
NT_011651	Homo sapiens	"X"	22701088	22702246	LOC643605	complement
NT_011651	Homo sapiens	"X"	22707119	22708158	LOC643617	complement
NT_011651	Homo sapiens	"X"	22842948	22958460	PCDH19	complement
NT_011651	Homo sapiens	"X"	23136138	23151186	TNMD	coding
NT_011651	Homo sapiens	"X"	23180103	23188102	TSPAN6	complement
NT_011651	Homo sapiens	"X"	23195533	23233719	SRPX2	coding
NT_011651	Homo sapiens	"X"	23225796	23282806	SYTL4	complement
NT_011651	Homo sapiens	"X"	23351587	23352081	LOC442460	complement
NT_011651	Homo sapiens	"X"	23352474	23354359	LOC392508	coding
NT_011651	Homo sapiens	"X"	23371656	23392232	CSTF2	coding
NT_011651	Homo sapiens	"X"	23394621	23425642	NOX1	complement
NT_011651	Homo sapiens	"X"	23406700	23407677	HNRPA1P6	complement
NT_011651	Homo sapiens	"X"	23439226	23439925	HNRPA1P5	complement
NT_011651	Homo sapiens	"X"	23464744	23480206	XKRX	complement
NT_011651	Homo sapiens	"X"	23508507	23510616	dJ341D10.1	coding
NT_011651	Homo sapiens	"X"	23521021	23542009	ARL13A	coding
NT_011651	Homo sapiens	"X"	23560839	23603378	CXorf34	complement
NT_011651	Homo sapiens	"X"	23630171	23647661	TMEM35	coding
NT_011651	Homo sapiens	"X"	23651106	23714286	CENPI	coding
NT_011651	Homo sapiens	"X"	23741757	23742770	LOC392510	complement
NT_011651	Homo sapiens	"X"	23771293	23812225	DRP2	coding
NT_011651	Homo sapiens	"X"	23819549	23844353	TAF7L	complement
NT_011651	Homo sapiens	"X"	23896958	23899995	TIMM8A	complement
NT_011651	Homo sapiens	"X"	23900750	23937490	BTK	complement
NT_011651	Homo sapiens	"X"	23942256	23947091	RPL36A	coding
NT_011651	Homo sapiens	"X"	23949105	23959259	GLA	complement
NT_011651	Homo sapiens	"X"	23959499	23965429	HNRPH2	coding
NT_011651	Homo sapiens	"X"	24036725	24084754	ARMCX4	coding
NT_011651	Homo sapiens	"X"	24088488	24090741	LOC158948	complement
NT_011651	Homo sapiens	"X"	24101822	24105991	ARMCX1	coding
NT_011651	Homo sapiens	"X"	24148640	24149357	LOC653354	coding
NT_011651	Homo sapiens	"X"	24166416	24169299	ARMCX6	complement
NT_011651	Homo sapiens	"X"	24174428	24179139	ARMCX3	coding
NT_011651	Homo sapiens	"X"	24206575	24211143	ARMCX2	complement
NT_011651	Homo sapiens	"X"	24329735	24331872	GKP6	complement
NT_011651	Homo sapiens	"X"	24383393	24408857	NXF5	complement
NT_011651	Homo sapiens	"X"	24433570	24483308	ZMAT1	complement
NT_011651	Homo sapiens	"X"	24676968	24678992	TCEAL2	coding
NT_011651	Homo sapiens	"X"	24691758	24693679	TCEAL6	complement
NT_011651	Homo sapiens	"X"	24704992	24707337	NGFRAP1L1	complement
NT_011651	Homo sapiens	"X"	24724405	24737465	LOC643877	coding
NT_011651	Homo sapiens	"X"	24766588	24877939	NXF2	coding
NT_011651	Homo sapiens	"X"	24911624	25023040	LOC728343	complement
NT_011651	Homo sapiens	"X"	25064918	25068007	TMSL8	complement
NT_011651	Homo sapiens	"X"	25097903	25099450	LOC643976	complement
NT_011651	Homo sapiens	"X"	25101201	25122929	NXF4	coding
NT_011651	Homo sapiens	"X"	25150466	25155395	ARMCX5	coding
NT_011651	Homo sapiens	"X"	25204984	25209688	GPRASP1	coding
NT_011651	Homo sapiens	"X"	25263648	25268969	GPRASP2	coding
NT_011651	Homo sapiens	"X"	25271962	25303676	BHLHB9	coding
NT_011651	Homo sapiens	"X"	25297056	25299765	LOC644026	complement
NT_011651	Homo sapiens	"X"	25338049	25339623	MTND2P2	coding
NT_011651	Homo sapiens	"X"	25488508	25489536	LOC286526	coding
NT_011651	Homo sapiens	"X"	25613889	25615476	BEX1	complement
NT_011651	Homo sapiens	"X"	25627057	25644330	NXF3	complement
NT_011651	Homo sapiens	"X"	25766360	25768431	BEXL1	coding
NT_011651	Homo sapiens	"X"	25804231	25806429	TCEAL8	complement
NT_011651	Homo sapiens	"X"	25824927	25828108	TCEAL5	complement
NT_011651	Homo sapiens	"X"	25860582	25862253	BEX2	complement
NT_011651	Homo sapiens	"X"	25881473	25883562	TCEAL7	coding
NT_011651	Homo sapiens	"X"	25907688	25909705	WBP5	coding
NT_011651	Homo sapiens	"X"	25927576	25929309	NGFRAP1	coding
NT_011651	Homo sapiens	"X"	26050989	26070725	RAB40A	complement
NT_011651	Homo sapiens	"X"	26136727	26138965	TCEAL4	coding
NT_011651	Homo sapiens	"X"	26159142	26161163	TCEAL3	coding
NT_011651	Homo sapiens	"X"	26179956	26182189	TCEAL1	coding
NT_011651	Homo sapiens	"X"	26226741	26237904	MORF4L2	complement
NT_011651	Homo sapiens	"X"	26262145	26265268	TMEM31	coding
NT_011651	Homo sapiens	"X"	26328062	26343856	PLP1	coding
NT_011651	Homo sapiens	"X"	26376259	26383466	RAB9B	complement
NT_011651	Homo sapiens	"X"	26455547	26456354	LOC442461	complement
NT_011651	Homo sapiens	"X"	26478985	26479907	LOC644261	coding
NT_011651	Homo sapiens	"X"	26512209	26513250	LOC728493	complement
NT_011651	Homo sapiens	"X"	26513513	26529235	MGC39900	coding
NT_011651	Homo sapiens	"X"	26526652	26527645	LOC644328	coding
NT_011651	Homo sapiens	"X"	26562028	26564564	H2BFWT	complement
NT_011651	Homo sapiens	"X"	26587605	26593328	H2BFM	coding
NT_011651	Homo sapiens	"X"	26640206	26698016	MCART6	complement
NT_011651	Homo sapiens	"X"	26653328	26656841	LOC644353	coding
NT_011651	Homo sapiens	"X"	26707609	26732435	CXorf39	coding
NT_011651	Homo sapiens	"X"	26791027	26795896	ESX1	complement
NT_011651	Homo sapiens	"X"	27107304	28308130	IL1RAPL2	coding
NT_011651	Homo sapiens	"X"	27188153	27188989	LOC644415	complement
NT_011651	Homo sapiens	"X"	27759919	27761666	TEX13A	complement
NT_011651	Homo sapiens	"X"	27946626	27948025	LOC643535	coding
NT_011651	Homo sapiens	"X"	28362844	28498910	NRK	coding
NT_011651	Homo sapiens	"X"	28573505	28577374	SERPINA7	complement
NT_011651	Homo sapiens	"X"	28717627	28749256	MUM1L1	coding
NT_011651	Homo sapiens	"X"	28867078	28867359	LOC644504	coding
NT_011651	Homo sapiens	"X"	29151561	29218980	CXorf57	coding
NT_011651	Homo sapiens	"X"	29233376	29336554	RNF128	coding
NT_011651	Homo sapiens	"X"	29342227	29415688	TBC1D8B	coding
NT_011651	Homo sapiens	"X"	29439601	29442869	LOC92129	complement
NT_011651	Homo sapiens	"X"	29459942	29470399	CLDN2	coding
NT_011651	Homo sapiens	"X"	29480277	29525533	MORC4	complement
NT_011651	Homo sapiens	"X"	29606676	29658342	RBM41	complement
NT_011651	Homo sapiens	"X"	29661535	29671807	LOC644563	coding
NT_011651	Homo sapiens	"X"	29663010	29745852	NUP62CL	complement
NT_011651	Homo sapiens	"X"	29746170	29783781	CXorf41	coding
NT_011651	Homo sapiens	"X"	29812120	29813196	MYCL2	coding
NT_011651	Homo sapiens	"X"	29891188	29892380	LOC644588	complement
NT_011651	Homo sapiens	"X"	29959824	29972674	LOC392516	coding
NT_011651	Homo sapiens	"X"	30061988	30144787	FRMPD3	coding
NT_011651	Homo sapiens	"X"	30168067	30190564	PRPS1	coding
NT_011651	Homo sapiens	"X"	30252759	30315325	TSC22D3	complement
NT_011651	Homo sapiens	"X"	30365768	30466729	MID2	coding
NT_011651	Homo sapiens	"X"	30513339	30515083	NOD13	coding
NT_011651	Homo sapiens	"X"	30520402	30521908	TEX13B	complement
NT_011651	Homo sapiens	"X"	30584508	30618722	VSIG1	coding
NT_011651	Homo sapiens	"X"	30623745	30631156	PSMD10	complement
NT_011651	Homo sapiens	"X"	30631242	30694204	ATG4A	coding
NT_011651	Homo sapiens	"X"	30695154	30979019	COL4A6	complement
NT_011651	Homo sapiens	"X"	30979462	31237083	COL4A5	coding
NT_011651	Homo sapiens	"X"	31272020	31275959	IRS4	complement
NT_011651	Homo sapiens	"X"	31880992	31882234	LOC644728	coding
NT_011651	Homo sapiens	"X"	31912443	32021593	GUCY2F	complement
NT_011651	Homo sapiens	"X"	32075318	32084221	NXT2	coding
NT_011651	Homo sapiens	"X"	32109230	32109829	LOC441511	coding
NT_011651	Homo sapiens	"X"	32163237	32164701	KCNE1L	complement
NT_011651	Homo sapiens	"X"	32180872	32272929	ACSL4	complement
NT_011651	Homo sapiens	"X"	32392851	32393456	LOC392520	coding
NT_011651	Homo sapiens	"X"	32542670	32713082	TMEM164	coding
NT_011651	Homo sapiens	"X"	32733722	32857688	AMMECR1	complement
NT_011651	Homo sapiens	"X"	32886083	32886509	GNG5ps	complement
NT_011651	Homo sapiens	"X"	32958593	32995869	RGAG1	coding
NT_011651	Homo sapiens	"X"	33059848	33062557	TDGF3	coding
NT_011651	Homo sapiens	"X"	33214781	33335301	CHRDL1	complement
NT_011651	Homo sapiens	"X"	33635654	33638593	LOC728828	complement
NT_011651	Homo sapiens	"X"	33635908	33760468	PAK3	coding
NT_011651	Homo sapiens	"X"	33784639	33810059	CAPN6	complement
NT_011651	Homo sapiens	"X"	33833315	33951714	DCX	complement
NT_011651	Homo sapiens	"X"	34159213	34161025	LOC643873	complement
NT_011651	Homo sapiens	"X"	34163746	34167578	LOC392522	complement
NT_011651	Homo sapiens	"X"	34220721	34228332	GLT28D1	coding
NT_011651	Homo sapiens	"X"	34247789	34263438	LOC728848	coding
NT_011651	Homo sapiens	"X"	34266386	34300180	CXorf45	coding
NT_011651	Homo sapiens	"X"	34313850	34622312	TRPC5	complement
NT_011651	Homo sapiens	"X"	34622561	34996781	ZCCHC16	coding
NT_011651	Homo sapiens	"X"	34859404	34860057	DPRXP7	complement
NT_011651	Homo sapiens	"X"	34920180	34923092	LOC643888	coding
NT_011651	Homo sapiens	"X"	35170187	35219590	LHFPL1	complement
NT_011651	Homo sapiens	"X"	35228119	35230083	LOC203510	coding
NT_011651	Homo sapiens	"X"	35314413	35380351	AMOT	complement
NT_011651	Homo sapiens	"X"	35967295	36062573	LOC139466	coding
NT_033330	Homo sapiens	"X"	660	17295	CRLF2	complement
NT_033330	Homo sapiens	"X"	73467	114593	CSF2RA	coding
NT_033330	Homo sapiens	"X"	141275	187348	IL3RA	coding
NT_033330	Homo sapiens	"X"	190811	196760	SLC25A6	complement
NT_033330	Homo sapiens	"X"	197026	203217	LOC729018	coding
NT_033330	Homo sapiens	"X"	206702	220080	CXYorf2	coding
NT_033330	Homo sapiens	"X"	207903	257499	ASMTL	complement
NT_033330	Homo sapiens	"X"	267231	341766	P2RY8	complement
NT_033330	Homo sapiens	"X"	396252	407179	DXYS155E	coding
NT_033330	Homo sapiens	"X"	396485	397574	LOC729022	complement
NT_033330	Homo sapiens	"X"	400114	447740	ASMT	coding
NT_033330	Homo sapiens	"X"	621552	622838	LOC729036	coding
NT_033330	Homo sapiens	"X"	622897	624123	LOC729039	coding
NT_028405	Homo sapiens	"X"	57459	58043	LOC286528	coding
NT_028405	Homo sapiens	"X"	250883	576956	HTR2C	coding
NT_028405	Homo sapiens	"X"	251511	252874	LOC727794	complement
NT_028405	Homo sapiens	"X"	297591	297718	SNORA35	coding
NT_028405	Homo sapiens	"X"	670870	684539	IL13RA2	complement
NT_028405	Homo sapiens	"X"	736195	736703	LOC642307	coding
NT_028405	Homo sapiens	"X"	777511	900967	LRCH2	complement
NT_028405	Homo sapiens	"X"	799849	800330	TMSL7	coding
NT_028405	Homo sapiens	"X"	857299	859758	CXorf55	coding
NT_028405	Homo sapiens	"X"	956624	974453	LUZP4	coding
NT_028405	Homo sapiens	"X"	1227841	1317322	PLS3	coding
NT_028405	Homo sapiens	"X"	1326356	1329638	LOC450246	complement
NT_028405	Homo sapiens	"X"	1331475	1332972	ASSP5	coding
NT_028405	Homo sapiens	"X"	1369463	1370772	LOC642357	coding
NT_028405	Homo sapiens	"X"	1384982	1386050	LOC728825	complement
NT_028405	Homo sapiens	"X"	1392729	1393607	LOC642383	complement
NT_028405	Homo sapiens	"X"	1395710	1396588	LOC727864	complement
NT_028405	Homo sapiens	"X"	1398691	1399569	LOC727875	complement
NT_028405	Homo sapiens	"X"	1401674	1402552	LOC642450	complement
NT_028405	Homo sapiens	"X"	1404653	1405531	LOC727892	complement
NT_028405	Homo sapiens	"X"	1407644	1408522	LOC727907	complement
NT_028405	Homo sapiens	"X"	1410635	1411513	LOC727917	complement
NT_028405	Homo sapiens	"X"	1413618	1414496	LOC727932	complement
NT_028405	Homo sapiens	"X"	1416603	1417481	LOC727946	complement
NT_028405	Homo sapiens	"X"	1419582	1420460	LOC727952	complement
NT_028405	Homo sapiens	"X"	1422569	1423447	LOC727968	complement
NT_028405	Homo sapiens	"X"	1425538	1426416	LOC727979	complement
NT_028405	Homo sapiens	"X"	1428531	1429409	LOC727990	complement
NT_028405	Homo sapiens	"X"	1431540	1432418	LOC728001	complement
NT_028405	Homo sapiens	"X"	1436729	1437217	LOC642694	complement
NT_028405	Homo sapiens	"X"	1444769	1445689	LOC642731	complement
NT_028405	Homo sapiens	"X"	1614840	1615781	LOC392525	coding
NT_028405	Homo sapiens	"X"	1678272	1679820	LOC642812	complement
NT_028405	Homo sapiens	"X"	1742107	1745924	AGTR2	coding
NT_028405	Homo sapiens	"X"	2007894	2032727	SLC6A14	coding
NT_028405	Homo sapiens	"X"	2032953	2034239	LOC203413	complement
NT_011757	Homo sapiens	"X"	19309	300737	DHRSX	complement
NT_011757	Homo sapiens	"X"	286217	300770	ZBED1	complement
NT_011757	Homo sapiens	"X"	409096	414702	LOC729062	complement
NT_011757	Homo sapiens	"X"	416593	438497	LOC401577	coding
NT_011757	Homo sapiens	"X"	490990	541112	CD99	coding
NT_011757	Homo sapiens	"X"	551877	615730	XG	coding
NT_011757	Homo sapiens	"X"	628625	682495	GYG2	coding
NT_011757	Homo sapiens	"X"	703773	729154	ARSD	complement
NT_011757	Homo sapiens	"X"	734614	764073	ARSE	complement
NT_011757	Homo sapiens	"X"	806416	833188	ARSH	coding
NT_011757	Homo sapiens	"X"	866615	912509	ARSF	coding
NT_011757	Homo sapiens	"X"	1108368	1143636	MXRA5	complement
NT_011757	Homo sapiens	"X"	1166885	1168404	ASSP4	coding
NT_011757	Homo sapiens	"X"	1404173	1513423	PRKX	complement
NT_011757	Homo sapiens	"X"	1513154	1513378	LOC729116	complement
NT_011757	Homo sapiens	"X"	1615603	1616268	LOC729129	complement
NT_011757	Homo sapiens	"X"	1617331	1646936	LOC389906	complement
NT_011757	Homo sapiens	"X"	1652816	1663380	LOC729137	complement
NT_011757	Homo sapiens	"X"	1681005	1685361	LOC441528	complement
NT_011757	Homo sapiens	"X"	1691241	1701806	LOC286434	complement
NT_011757	Homo sapiens	"X"	1719434	1738879	LOC729162	complement
NT_011757	Homo sapiens	"X"	3104988	3106987	LOC347381	coding
NT_011757	Homo sapiens	"X"	3689845	4028468	NLGN4X	complement
NT_011757	Homo sapiens	"X"	4026087	4030094	LOC729193	complement
NT_011757	Homo sapiens	"X"	4221895	4222504	LOC392424	complement
NT_011757	Homo sapiens	"X"	4333421	4334921	VCX3A	complement
NT_011757	Homo sapiens	"X"	4789132	4789586	LOC392425	coding
NT_011757	Homo sapiens	"X"	4848723	4947951	HDHD1A	complement
NT_011757	Homo sapiens	"X"	5019259	5154444	STS	coding
NT_011757	Homo sapiens	"X"	5642065	5643946	VCX	coding
NT_011757	Homo sapiens	"X"	5698566	5727205	PNPLA4	complement
NT_011757	Homo sapiens	"X"	5969747	5971070	VCX2	complement
NT_011757	Homo sapiens	"X"	6264633	6266309	VCX-C	coding
NT_011757	Homo sapiens	"X"	6328677	6531989	KAL1	complement
NT_011757	Homo sapiens	"X"	6590598	6601186	FAM9A	complement
NT_011757	Homo sapiens	"X"	6780225	6782308	LOC392426	complement
NT_011757	Homo sapiens	"X"	6824798	6833930	FAM9B	complement
NT_011757	Homo sapiens	"X"	6833176	6833658	LOC729300	coding
NT_011757	Homo sapiens	"X"	7140672	7214338	LOC442443	coding
NT_011757	Homo sapiens	"X"	7264489	7265818	LOC729322	coding
NT_011757	Homo sapiens	"X"	7264810	7519540	TBL1X	coding
NT_011757	Homo sapiens	"X"	7525216	7565679	GPR143	complement
NT_011757	Homo sapiens	"X"	7586258	7749243	SHROOM2	coding
NT_011757	Homo sapiens	"X"	7814200	7815184	LOC729361	coding
NT_011757	Homo sapiens	"X"	7815374	7944273	WWC3	coding
NT_011757	Homo sapiens	"X"	7956799	8035282	CLCN4	coding
NT_011757	Homo sapiens	"X"	8247910	8633389	MID1	complement
NT_011757	Homo sapiens	"X"	8911135	8922884	HCCS	coding
NT_011757	Homo sapiens	"X"	8937347	9465504	ARHGAP6	complement
NT_011757	Homo sapiens	"X"	9014607	9028839	FAM9C	coding
NT_011757	Homo sapiens	"X"	9093216	9100564	AMELX	coding
NT_011757	Homo sapiens	"X"	9503920	9540856	LOC139952	complement
NT_011757	Homo sapiens	"X"	9557961	9575555	MSL3L1	coding
NT_011757	Homo sapiens	"X"	9938268	10522212	FRMPD4	coding
NT_011757	Homo sapiens	"X"	10591176	10624026	PRPS2	coding
NT_011757	Homo sapiens	"X"	10625897	10626073	LOC729412	coding
NT_011757	Homo sapiens	"X"	10644864	10645232	MRPL35P4	complement
NT_011757	Homo sapiens	"X"	10666885	10690163	TLR7	coding
NT_011757	Homo sapiens	"X"	10685313	10688593	TLR7-like	coding
NT_011757	Homo sapiens	"X"	10706441	10722971	TLR8	coding
NT_011757	Homo sapiens	"X"	10774910	10777029	TMSB4X	coding
NT_011757	Homo sapiens	"X"	10835435	10844483	LOC728906	complement
NT_011757	Homo sapiens	"X"	11118449	11119736	ATXN3L	complement
NT_011757	Homo sapiens	"X"	11178537	11179142	LOC441481	complement
NT_011757	Homo sapiens	"X"	11369424	11433377	EGFL6	coding
NT_011757	Homo sapiens	"X"	11450797	11453241	LOC645769	complement
NT_011757	Homo sapiens	"X"	11462710	11463366	MGC17403	coding
NT_011757	Homo sapiens	"X"	11489024	11509447	RAB9A	coding
NT_011757	Homo sapiens	"X"	11512044	11534410	TRAPPC2	complement
NT_011757	Homo sapiens	"X"	11534563	11569155	OFD1	coding
NT_011757	Homo sapiens	"X"	11570745	11738514	GPM6B	complement
NT_011757	Homo sapiens	"X"	11808081	11829694	FAM51A1	complement
NT_011757	Homo sapiens	"X"	12044070	12045228	UBE2E4P	coding
NT_011757	Homo sapiens	"X"	12329333	12531617	GLRA2	coding
NT_011757	Homo sapiens	"X"	12633949	12635231	NPM1P9	coding
NT_011757	Homo sapiens	"X"	12643212	12672867	FANCB	complement
NT_011757	Homo sapiens	"X"	12673246	12721140	MOSPD2	coding
NT_011757	Homo sapiens	"X"	13043792	13075416	ASB9	complement
NT_011757	Homo sapiens	"X"	13083310	13115410	ASB11	complement
NT_011757	Homo sapiens	"X"	13119263	13135328	PIGA	complement
NT_011757	Homo sapiens	"X"	13145401	13184260	FIGF	complement
NT_011757	Homo sapiens	"X"	13184604	13293147	PIR	complement
NT_011757	Homo sapiens	"X"	13300635	13356335	BMX	coding
NT_011757	Homo sapiens	"X"	13360839	13400820	ACE2	complement
NT_011757	Homo sapiens	"X"	13427134	13464837	TMEM27	complement
NT_011757	Homo sapiens	"X"	13498814	13503528	LOC728999	complement
NT_011757	Homo sapiens	"X"	13538108	13584341	CA5B	coding
NT_011757	Homo sapiens	"X"	13585522	13587395	INE2	complement
NT_011757	Homo sapiens	"X"	13590278	13623066	U2AF1L2	coding
NT_011757	Homo sapiens	"X"	13625612	13654783	AP1S2	complement
NT_011757	Homo sapiens	"X"	13923107	13953324	GRPR	coding
NT_011757	Homo sapiens	"X"	13970189	13971199	LOC645864	coding
NT_011757	Homo sapiens	"X"	13998234	13999097	LOC139452	complement
NT_011757	Homo sapiens	"X"	14387805	14512742	CTPS2	complement
NT_011757	Homo sapiens	"X"	14449964	14454474	S100G	coding
NT_011757	Homo sapiens	"X"	14519438	14561036	SYAP1	coding
NT_011757	Homo sapiens	"X"	14586243	14641979	CXorf15	coding
NT_011757	Homo sapiens	"X"	14644460	14670148	RBBP7	complement
NT_011757	Homo sapiens	"X"	14675006	14675073	RNU4P6	complement
NT_011757	Homo sapiens	"X"	14746497	14947418	REPS2	coding
NT_011757	Homo sapiens	"X"	15175226	15535797	NHS	coding
NT_011757	Homo sapiens	"X"	15537275	15554788	SCML1	coding
NT_011757	Homo sapiens	"X"	15599854	15602190	RAI2	complement
NT_011757	Homo sapiens	"X"	15962734	16020686	CXorf20	complement
NT_011757	Homo sapiens	"X"	16039117	16154461	SCML2	complement
NT_011757	Homo sapiens	"X"	16225408	16453432	CDKL5	coding
NT_011757	Homo sapiens	"X"	16439491	16471912	RS1	complement
NT_011757	Homo sapiens	"X"	16490728	16627718	PPEF1	coding
NT_011757	Homo sapiens	"X"	16665200	16666359	LOC441484	coding
NT_011757	Homo sapiens	"X"	16692555	16783859	PHKA2	complement
NT_011757	Homo sapiens	"X"	16789115	16882547	GPR64	complement
NT_011757	Homo sapiens	"X"	17143734	17159648	PDHA1	coding
NT_011757	Homo sapiens	"X"	17159857	17282077	MAP3K15	complement
NT_011757	Homo sapiens	"X"	17335203	17687402	SH3KBP1	complement
NT_011757	Homo sapiens	"X"	17716059	17766107	CXorf23	complement
NT_011757	Homo sapiens	"X"	17790705	17801541	LOC729609	complement
NT_011757	Homo sapiens	"X"	17806912	17916699	FLJ14503	complement
NT_011757	Homo sapiens	"X"	17924319	17941649	EIF1AX	complement
NT_011757	Homo sapiens	"X"	17949712	18066433	RPS6KA3	complement
NT_011757	Homo sapiens	"X"	19174663	19452462	CNKSR2	coding
NT_011757	Homo sapiens	"X"	19455292	19458131	RP11-450P7.3	complement
NT_011757	Homo sapiens	"X"	19505774	19557913	SMPX	complement
NT_011757	Homo sapiens	"X"	19639437	19682556	MBTPS2	coding
NT_011757	Homo sapiens	"X"	19656286	19657404	YY2	coding
NT_011757	Homo sapiens	"X"	19740525	19794638	SMS	coding
NT_011757	Homo sapiens	"X"	19832604	20048161	PHEX	coding
NT_011757	Homo sapiens	"X"	20072743	20074257	ZNF645	coding
NT_011757	Homo sapiens	"X"	20235857	20236222	LOC729650	coding
NT_011757	Homo sapiens	"X"	20799770	20801889	DDX53	coding
